epoch,train/box_loss,train/cls_loss,val/box_loss,val/cls_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B)
89,1.713966,2.130040,1.713831,1.893012,0.684917,0.675669,0.677996,0.439397
90,1.623127,2.141009,1.766505,1.848858,0.679962,0.660408,0.678981,0.438679
91,1.686479,2.141030,1.697612,1.765147,0.691799,0.659312,0.684701,0.446583
92,1.646715,2.062994,1.765016,1.781224,0.700499,0.675173,0.685265,0.457167
93,1.642003,2.050046,1.729583,1.795667,0.709673,0.669152,0.685034,0.463998
94,1.707048,2.004433,1.735315,1.781063,0.714423,0.696872,0.698673,0.446223
95,1.586764,2.029505,1.687235,1.848628,0.718869,0.680143,0.713040,0.467423
96,1.657421,1.969200,1.742074,1.700096,0.715190,0.702586,0.702407,0.472574
97,1.601748,2.021054,1.725594,1.761737,0.718846,0.691324,0.710900,0.472839
98,1.589872,1.884109,1.702612,1.787223,0.731681,0.710864,0.723540,0.489067
99,1.620975,1.936653,1.672094,1.804827,0.741976,0.731946,0.722318,0.485716
100,1.591400,1.951146,1.684357,1.684267,0.738109,0.726950,0.728805,0.496357
101,1.589197,1.926959,1.636845,1.706735,0.753684,0.722315,0.736245,0.487609
102,1.593811,2.034315,1.674915,1.696662,0.761945,0.734024,0.735710,0.500226
103,1.530678,1.899265,1.690034,1.668643,0.748046,0.739363,0.743069,0.509125
104,1.508420,1.813897,1.664073,1.643978,0.753625,0.747838,0.758036,0.509784
105,1.478614,1.841862,1.601574,1.652632,0.764034,0.737855,0.750766,0.493730
106,1.478244,1.740567,1.625913,1.521316,0.772347,0.758159,0.753712,0.503543
107,1.618593,1.808300,1.567986,1.637453,0.770313,0.736307,0.764102,0.505847
108,1.539912,1.753830,1.615759,1.602929,0.789844,0.757324,0.776753,0.515489
109,1.425703,1.824607,1.604011,1.576841,0.786832,0.762776,0.775555,0.519964
110,1.416592,1.734913,1.526401,1.655618,0.788065,0.775966,0.778222,0.510592
111,1.478632,1.740301,1.539740,1.534892,0.780470,0.775198,0.785447,0.520609
112,1.471236,1.698304,1.558291,1.534054,0.785537,0.767791,0.778778,0.506603
113,1.461408,1.801159,1.550044,1.618267,0.802318,0.775076,0.796193,0.536929
114,1.419480,1.682478,1.515163,1.493888,0.786917,0.788370,0.799400,0.523861
115,1.415002,1.774678,1.555584,1.493868,0.815890,0.789878,0.798422,0.530909
116,1.423592,1.708454,1.544017,1.498828,0.810239,0.789513,0.810596,0.530425
117,1.404484,1.676727,1.523291,1.527308,0.841070,0.793843,0.801386,0.544448
118,1.302959,1.656119,1.499180,1.491092,0.837117,0.806711,0.818416,0.514897
119,1.373334,1.642609,1.546136,1.420306,0.820639,0.800364,0.815983,0.539721
120,1.339374,1.511948,1.557243,1.440085,0.824587,0.807077,0.816356,0.541206
121,1.371452,1.579974,1.486065,1.426564,0.836662,0.828330,0.821487,0.540563
122,1.474974,1.621935,1.475282,1.437381,0.845495,0.802686,0.824108,0.560086
123,1.361488,1.563160,1.501540,1.447240,0.821853,0.802283,0.835135,0.541205
124,1.325579,1.481442,1.469302,1.436793,0.823671,0.826306,0.824332,0.556451
125,1.366426,1.535344,1.469181,1.339004,0.835908,0.817469,0.829115,0.555046
126,1.340398,1.609595,1.488952,1.442701,0.848389,0.823134,0.842726,0.564155
127,1.329531,1.573322,1.402960,1.400463,0.850467,0.822136,0.835676,0.550541
128,1.328738,1.494626,1.493345,1.436075,0.857738,0.828937,0.847317,0.551780
129,1.378562,1.532204,1.449609,1.388911,0.842195,0.846361,0.854701,0.568128
130,1.242997,1.453369,1.428793,1.405759,0.835803,0.842475,0.844611,0.564429
131,1.299207,1.373717,1.432244,1.371044,0.863664,0.845370,0.853557,0.550288
132,1.235331,1.400056,1.427652,1.397018,0.852571,0.829489,0.844923,0.559907
133,1.286825,1.511944,1.370774,1.354955,0.845378,0.833888,0.858683,0.568842
134,1.220168,1.407768,1.461562,1.321154,0.864948,0.822599,0.857594,0.573938
135,1.232623,1.397114,1.412029,1.407081,0.872330,0.840986,0.861413,0.563245
136,1.230008,1.382252,1.418225,1.342963,0.867141,0.857202,0.856816,0.546765
137,1.273427,1.480556,1.427697,1.321675,0.866525,0.855710,0.852776,0.575625
138,1.263804,1.454893,1.362800,1.239100,0.870923,0.851769,0.867755,0.562996
139,1.169995,1.472921,1.401992,1.230149,0.871184,0.855272,0.854289,0.557901
140,1.214867,1.342555,1.374178,1.285020,0.865258,0.851792,0.866642,0.552625
141,1.177217,1.353951,1.402097,1.270862,0.872162,0.860739,0.876015,0.583001
142,1.148274,1.252135,1.307430,1.232305,0.883832,0.866972,0.873286,0.578689
143,1.183032,1.390744,1.362891,1.254435,0.883964,0.849610,0.885539,0.576990
144,1.172554,1.247572,1.342461,1.304363,0.884412,0.866575,0.881662,0.591009
145,1.275224,1.305993,1.368258,1.260752,0.876733,0.873230,0.873201,0.586063
146,1.188815,1.229611,1.364200,1.179507,0.884819,0.863993,0.878852,0.594931
147,1.109814,1.244483,1.323739,1.212992,0.870384,0.874416,0.879921,0.571863
148,1.135828,1.221639,1.318534,1.177650,0.890712,0.892779,0.872182,0.583703
149,1.192852,1.222808,1.331570,1.186827,0.902153,0.870834,0.877458,0.571990
150,1.229188,1.216068,1.303042,1.178367,0.880323,0.876180,0.881118,0.584004
151,1.075941,1.205555,1.350311,1.168471,0.888780,0.868451,0.873605,0.584737
152,1.057988,1.264699,1.309144,1.130124,0.897409,0.877087,0.887406,0.592599
153,1.201902,1.157972,1.228236,1.168063,0.906069,0.880561,0.886885,0.588784
154,1.136600,1.214542,1.299484,1.143669,0.893690,0.879642,0.879561,0.594214
155,1.080307,1.254828,1.274912,1.041924,0.892930,0.871092,0.893206,0.595637
156,1.130519,1.158800,1.252525,1.234313,0.883871,0.882030,0.896221,0.608008
157,0.997870,1.139207,1.259790,1.188920,0.901569,0.893172,0.894397,0.588981
158,1.097670,1.154331,1.295699,1.123573,0.918162,0.886125,0.892165,0.584687
159,1.104951,1.215708,1.327834,1.132715,0.905095,0.891259,0.898700,0.594873
160,1.123181,1.157401,1.292981,1.078512,0.903715,0.882663,0.900241,0.587155
161,1.040093,1.112216,1.261053,1.186701,0.907456,0.891523,0.898981,0.606076
162,1.078582,1.154158,1.288640,1.188336,0.905745,0.888692,0.893136,0.592581
163,1.032708,1.066143,1.256956,1.112361,0.900254,0.879755,0.900659,0.590929
164,1.074576,1.146722,1.245707,1.140759,0.914240,0.890787,0.907061,0.592272
165,1.023246,1.124583,1.227781,1.100629,0.910327,0.881154,0.897168,0.602359
166,1.037499,1.080363,1.205772,1.034022,0.909502,0.884846,0.914168,0.595901
167,1.008816,1.045525,1.242594,1.064965,0.902371,0.892220,0.899233,0.592564
168,1.069581,1.034920,1.255046,1.080733,0.921390,0.893854,0.903362,0.611537
169,1.072821,1.097893,1.243465,1.051364,0.917042,0.882708,0.899888,0.591866
170,1.024106,1.124595,1.229992,1.054961,0.908039,0.901377,0.905995,0.599485
171,1.030089,1.023371,1.210252,1.054281,0.921192,0.898220,0.894911,0.604888
172,0.965742,1.070340,1.253071,1.049001,0.909889,0.888684,0.902774,0.587073
173,1.006883,0.935346,1.191555,1.048693,0.908284,0.882677,0.900162,0.604406
174,1.012104,1.002836,1.250639,0.998613,0.909111,0.894453,0.908170,0.592549
175,1.114243,1.022975,1.193625,1.006857,0.901648,0.892660,0.913948,0.607985
176,0.960288,0.971594,1.197496,0.978721,0.920197,0.897727,0.912460,0.594101
177,1.058744,0.962892,1.172487,1.063848,0.902365,0.894494,0.894938,0.607731
178,1.035516,0.969056,1.197911,0.935204,0.907756,0.881896,0.921985,0.611410
179,1.002387,1.009868,1.238718,1.060332,0.901531,0.895389,0.912051,0.609817
180,1.057079,0.978792,1.221475,1.064463,0.917981,0.896574,0.906150,0.605286
181,0.997244,0.869231,1.231947,0.991805,0.917984,0.904594,0.912264,0.601765
182,0.993603,0.868175,1.214888,0.894710,0.917073,0.894429,0.912875,0.599333
183,0.971641,0.937018,1.162783,0.979387,0.911830,0.913917,0.908297,0.616030
184,1.018489,0.983478,1.182679,0.986336,0.911262,0.885654,0.913950,0.598974
185,1.009236,0.816531,1.165945,0.943602,0.924808,0.911880,0.909568,0.596571
186,0.936230,0.922313,1.226055,0.958598,0.917128,0.900026,0.911222,0.610479
187,0.904417,0.914459,1.147059,1.035653,0.924489,0.909114,0.909952,0.599066
188,0.945045,1.003737,1.206637,0.996337,0.915287,0.903278,0.905881,0.598105
189,0.917189,0.908696,1.203516,0.928108,0.924216,0.912146,0.915747,0.594418
190,0.942723,0.940799,1.228553,0.896593,0.933579,0.900308,0.918766,0.602357
191,0.990881,0.922490,1.158348,0.942878,0.928216,0.894983,0.918714,0.605804
192,0.919258,0.802751,1.189019,0.942936,0.920588,0.915489,0.920902,0.608647
193,0.932050,0.941614,1.233145,0.966891,0.926295,0.903559,0.918275,0.614543
194,0.932341,0.907972,1.143247,0.921252,0.922650,0.906571,0.913468,0.611369
195,0.960259,0.916684,1.112841,0.958799,0.924966,0.914997,0.922027,0.605842
196,0.832792,1.081723,1.099643,1.011471,0.922615,0.897173,0.909158,0.605992
197,0.894790,0.775415,1.174609,0.962461,0.924212,0.910493,0.912204,0.611860
198,0.923942,0.960135,1.093951,0.923745,0.927520,0.901301,0.912117,0.618154
199,0.959969,0.853875,1.136527,0.914219,0.918164,0.905244,0.924667,0.609173
200,0.888807,0.877028,1.158100,0.903204,0.918262,0.907151,0.924119,0.604592
201,0.829980,0.854867,1.147852,0.960671,0.915550,0.894835,0.921654,0.600579
202,0.926430,0.830478,1.152409,0.884375,0.914117,0.900861,0.925420,0.597132
203,0.872868,0.817810,1.143694,0.907347,0.917433,0.918147,0.913962,0.614189
204,0.847376,0.857454,1.172803,0.903703,0.928691,0.914667,0.921572,0.613643
205,0.866709,0.759860,1.103309,0.877747,0.920509,0.907308,0.918963,0.613793
206,0.881061,0.868050,1.109041,0.839128,0.931989,0.909978,0.925023,0.608295
207,0.861051,0.804576,1.103674,0.903200,0.928380,0.905895,0.919469,0.620726
208,0.793854,0.763808,1.149292,0.884140,0.912568,0.919312,0.918064,0.605738
209,0.914833,0.792797,1.148961,0.902933,0.933763,0.907059,0.923824,0.617389
210,0.926857,0.873201,1.133077,0.857966,0.935211,0.910713,0.926035,0.609569
211,0.898870,0.778683,1.152664,0.924572,0.920968,0.918217,0.916961,0.605140
212,0.824287,0.818536,1.079467,0.837141,0.932469,0.903014,0.920791,0.614870
213,0.858755,0.759287,1.162501,0.937208,0.922437,0.921882,0.914987,0.613527
214,0.863609,0.829009,1.155885,0.795377,0.930247,0.897340,0.906525,0.613221
215,0.884913,0.820723,1.129988,0.879270,0.919520,0.922788,0.922885,0.611128
216,0.884821,0.874268,1.159132,0.877534,0.915457,0.906931,0.925499,0.610283
217,0.825880,0.768505,1.053764,0.823372,0.926899,0.908128,0.923577,0.629798
218,0.855721,0.806215,1.085541,0.868888,0.929127,0.895101,0.910461,0.620267
219,0.867960,0.773239,1.077053,0.899849,0.927085,0.906729,0.920202,0.616674
220,0.905162,0.828736,1.118620,0.756791,0.920939,0.902191,0.909141,0.611881
221,0.872402,0.723660,1.063361,0.862407,0.927353,0.905786,0.930808,0.619136
222,0.873110,0.792562,1.115504,0.739438,0.932843,0.909682,0.916209,0.615312
223,0.842258,0.741339,1.131834,0.797451,0.930461,0.918572,0.930388,0.611465
224,0.892712,0.743676,1.109538,0.898189,0.932408,0.912695,0.928657,0.608910
225,0.850104,0.747336,1.095182,0.806733,0.925710,0.913617,0.917701,0.610773
226,0.796721,0.751272,1.055045,0.780067,0.940564,0.902508,0.916427,0.586135
227,0.884780,0.728809,1.057312,0.816158,0.921897,0.904339,0.925440,0.613259
228,0.854073,0.741364,1.118265,0.903881,0.935319,0.925885,0.918383,0.607740
229,0.805976,0.805591,1.102239,0.745020,0.940982,0.905720,0.924172,0.624461
230,0.802088,0.772061,1.075793,0.773393,0.935480,0.924954,0.920764,0.611943
231,0.830730,0.762395,1.062554,0.872534,0.930114,0.909860,0.913075,0.602344
232,0.835022,0.692356,1.012467,0.884170,0.927607,0.911919,0.910477,0.611521
233,0.822043,0.666912,1.039288,0.802983,0.940217,0.920557,0.925315,0.603614
234,0.824288,0.755425,1.126950,0.754849,0.920637,0.922260,0.920677,0.615831
235,0.877545,0.747793,1.029409,0.885568,0.924350,0.911286,0.920817,0.614430
236,0.850148,0.773998,1.071744,0.862867,0.929017,0.909151,0.928397,0.619822
237,0.812677,0.666582,1.094541,0.823634,0.942183,0.911892,0.931345,0.605888
238,0.840497,0.681764,1.024948,0.761398,0.935401,0.915123,0.922750,0.612540
239,0.759363,0.607769,1.066436,0.789381,0.924697,0.919627,0.922420,0.601400
240,0.814426,0.666664,1.087352,0.782407,0.930036,0.912605,0.927540,0.617982
241,0.868751,0.732701,1.057929,0.799564,0.927678,0.917595,0.916471,0.616570
242,0.785554,0.656173,1.141965,0.841909,0.926986,0.925821,0.926023,0.616432
243,0.758291,0.708188,1.004234,0.816614,0.940564,0.915832,0.928064,0.612524
244,0.764059,0.663345,1.084452,0.735940,0.921827,0.915341,0.928901,0.615874
245,0.744528,0.685818,1.045923,0.831720,0.945736,0.900760,0.913263,0.625433
246,0.754717,0.609015,1.072701,0.786840,0.939555,0.891927,0.920378,0.610359
247,0.769306,0.667482,1.061237,0.799479,0.941717,0.916140,0.919738,0.613789
248,0.725946,0.510525,1.024476,0.828368,0.929346,0.912332,0.925665,0.604030
249,0.780859,0.647635,1.051832,0.722981,0.931907,0.909029,0.928007,0.605811
250,0.814414,0.572390,0.987735,0.763775,0.921697,0.915150,0.934158,0.613576
251,0.740124,0.711185,1.060097,0.741740,0.929019,0.912771,0.922262,0.621660
252,0.835340,0.686763,1.049489,0.698101,0.937218,0.922328,0.922298,0.610813
253,0.793156,0.668269,1.058266,0.772527,0.943688,0.914044,0.932232,0.611009
254,0.812126,0.718064,1.069429,0.856990,0.924511,0.907428,0.927162,0.609673
255,0.742789,0.591681,1.047310,0.680819,0.930492,0.921371,0.933035,0.608682
256,0.801505,0.723643,1.039337,0.751050,0.932252,0.911758,0.927208,0.615350
257,0.721890,0.680066,1.007092,0.775908,0.922341,0.917751,0.918577,0.601041
258,0.799441,0.618844,1.010803,0.753178,0.938281,0.909762,0.917564,0.623295
259,0.768989,0.684701,1.066434,0.741723,0.927800,0.908424,0.916295,0.607752
260,0.782550,0.569887,1.072600,0.692296,0.932070,0.914335,0.929617,0.618877
261,0.711721,0.581290,1.021060,0.751617,0.930057,0.913803,0.932815,0.602968
262,0.721287,0.589432,1.028293,0.710099,0.927396,0.917577,0.936818,0.618504
263,0.779344,0.590790,0.998499,0.650859,0.933691,0.911625,0.930817,0.618553
264,0.715905,0.561819,1.059560,0.784350,0.932059,0.899119,0.932771,0.616275
265,0.770771,0.673241,1.043095,0.773034,0.930844,0.910382,0.922348,0.605269
266,0.695979,0.596614,1.080139,0.734920,0.928025,0.920227,0.918924,0.615243
267,0.783033,0.624683,0.994337,0.740193,0.936441,0.911530,0.930995,0.603803
268,0.698265,0.576070,1.008145,0.772201,0.947146,0.911969,0.928432,0.611267
269,0.768137,0.511117,1.025242,0.736422,0.935067,0.921861,0.926601,0.621544
270,0.769566,0.613239,1.036521,0.761850,0.941946,0.908304,0.928311,0.619702
271,0.715185,0.501741,1.009498,0.712053,0.922885,0.901685,0.927954,0.613469
272,0.764869,0.591568,0.988634,0.774714,0.935297,0.912770,0.933746,0.605568
273,0.750555,0.524258,1.040134,0.733370,0.925283,0.910209,0.933840,0.618549
274,0.717151,0.689739,1.034209,0.726624,0.922273,0.906378,0.929361,0.613556
275,0.696946,0.633672,0.983982,0.666403,0.928199,0.912730,0.931196,0.594856
276,0.657384,0.591148,1.051042,0.727047,0.943674,0.918089,0.929231,0.619696
277,0.748493,0.646829,1.044407,0.680673,0.941763,0.914107,0.923403,0.613257
278,0.670549,0.539137,1.012265,0.686823,0.936130,0.916660,0.930733,0.623085
279,0.735605,0.606462,1.009571,0.678160,0.921948,0.928733,0.917849,0.604719
280,0.719920,0.587140,1.022765,0.666566,0.932661,0.911505,0.932561,0.588082
281,0.756306,0.588238,0.979265,0.792665,0.936666,0.916495,0.919092,0.615742
282,0.715757,0.636567,1.005002,0.759404,0.935678,0.910215,0.927994,0.615855
283,0.713374,0.607510,0.938526,0.781461,0.919543,0.907538,0.921229,0.600011
284,0.754556,0.583284,1.028400,0.654244,0.927190,0.909648,0.929639,0.605721
285,0.737428,0.484089,0.954282,0.704540,0.933819,0.910516,0.926134,0.635603
286,0.735431,0.516841,1.045262,0.648498,0.938641,0.917240,0.916787,0.611129
287,0.740329,0.556742,0.989299,0.670977,0.916799,0.933174,0.928898,0.619433
288,0.658924,0.565603,0.991908,0.660662,0.933089,0.908670,0.922923,0.608391
289,0.749422,0.502504,0.978493,0.745570,0.935547,0.911082,0.931694,0.596885
290,0.742466,0.677702,0.987761,0.678754,0.941216,0.913926,0.926432,0.612256
291,0.676132,0.631063,1.038047,0.735972,0.939977,0.917613,0.928812,0.611504
292,0.705881,0.583498,0.919956,0.716051,0.939111,0.916570,0.920709,0.610440
293,0.712931,0.555164,1.032010,0.782697,0.928065,0.924749,0.922934,0.612732
294,0.707996,0.539144,1.002962,0.630055,0.919215,0.895079,0.923732,0.615772
295,0.725617,0.500372,0.955742,0.738299,0.931349,0.895409,0.931638,0.612466
296,0.768417,0.550077,0.958835,0.732500,0.942520,0.910551,0.936576,0.603564
297,0.753345,0.557347,1.040539,0.646435,0.945668,0.923309,0.921694,0.617575
298,0.656511,0.480648,0.961044,0.724399,0.940218,0.902018,0.932998,0.598099
299,0.732821,0.557742,0.953980,0.696317,0.937981,0.890495,0.913532,0.597299
300,0.760047,0.531588,1.021882,0.672545,0.937595,0.919137,0.919397,0.619623
